date,value
11-12-2021,"33,750"
11-13-2021,"45,000"
11-14-2021,"100,000"
11-15-2021,"282,000"
11-16-2021,"105,000"
11-17-2021,"82,500"
11-18-2021,"55,000"
11-19-2021,"81,250"
11-20-2021,"175,000"
11-21-2021,"325,000"
11-22-2021,"150,000"
11-23-2021,"96,250"
11-24-2021,"82,500"
11-25-2021,"97,500"
11-26-2021,"210,000"
11-27-2021,"325,000"
11-28-2021,"180,000"
11-29-2021,"123,750"
11-30-2021,"96,250"
12-1-2021,"130,000"
12-2-2021,"262,500"
12-3-2021,"341,250"
12-4-2021,"180,000"
12-5-2021,"123,750"
12-6-2021,"110,000"
12-7-2021,"113,750"
12-8-2021,"245,000"
12-9-2021,"308,750"
12-10-2021,"137,500"
12-11-2021,"90,000"
12-12-2021,"78,750"
12-13-2021,"68,750"
12-14-2021,"135,000"
12-15-2021,"240,000"
12-16-2021,"112,500"
12-17-2021,"62,500"
12-18-2021,"50,000"
12-19-2021,"60,000"
12-20-2021,"146,250"
12-21-2021,"262,500"
12-22-2021,"120,000"
12-23-2021,"117,000"
12-24-2021,"105,000"
12-25-2021,"105,000"
12-26-2021,"187,500"
12-27-2021,"332,500"
12-28-2021,"165,000"
12-29-2021,"135,000"
12-30-2021,"105,000"
12-31-2021,"122,500"
1-1-2021,"137,500"
1-2-2021,"213,750"
1-3-2021,"183,750"
1-4-2021,"191,250"
1-5-2021,"202,500"
1-6-2021,"135,000"
1-7-2021,"112,500"
1-8-2021,"191,250"
1-9-2021,"201,250"
1-10-2021,"191,250"
1-11-2021,"191,250"
1-12-2021,"146,250"
1-13-2021,"100,000"
1-14-2021,"180,000"
1-15-2021,"258,750"
1-16-2021,"168,750"
1-17-2021,"180,000"
1-18-2021,"120,000"
1-19-2021,"90,000"
1-20-2021,"225,000"
1-21-2021,"230,000"
1-22-2021,"191,250"
1-23-2021,"191,250"
1-24-2021,"130,000"
1-25-2021,"101,250"
1-26-2021,"240,000"
1-27-2021,"270,000"
1-28-2021,"236,250"
1-29-2021,"247,500"
1-30-2021,"170,000"
1-31-2021,"135,000"
2-1-2021,"360,000"
2-2-2021,"300,000"
2-3-2021,"270,000"
2-4-2021,"247,500"
2-5-2021,"180,000"
2-6-2021,"213,750"
2-7-2021,"285,000"
2-8-2021,"303,750"
2-9-2021,"343,750"
2-10-2021,"250,000"
2-11-2021,"191,250"
2-12-2021,"233,750"
2-13-2021,"240,000"
2-14-2021,"270,000"
2-15-2021,"300,000"
2-16-2021,"202,500"
2-17-2021,"180,000"
2-18-2021,"220,000"
2-19-2021,"270,000"
2-20-2021,"247,500"
2-21-2021,"275,000"
2-22-2021,"180,000"
2-23-2021,"168,750"
2-24-2021,"192,500"
2-25-2021,"240,000"
2-26-2021,"230,000"
2-27-2021,"258,750"
2-28-2021,"170,000"
3-1-2021,"170,000"
3-2-2021,"206,250"
3-3-2021,"285,000"
3-4-2021,"303,750"
3-5-2021,"337,500"
3-6-2021,"213,750"
3-7-2021,"213,750"
3-8-2021,"220,000"
3-9-2021,"300,000"
3-10-2021,"140,000"
3-11-2021,"210,000"
3-12-2021,"150,000"
3-13-2021,"175,000"
3-14-2021,"140,000"
3-15-2021,"175,000"
3-16-2021,"162,500"
3-17-2021,"218,750"
3-18-2021,"157,500"
3-19-2021,"140,000"
3-20-2021,"110,000"
3-21-2021,"166,250"
3-22-2021,"195,000"
3-23-2021,"260,000"
3-24-2021,"142,500"
3-25-2021,"131,250"
3-26-2021,"110,000"
3-27-2021,"148,750"
3-28-2021,"135,000"
3-29-2021,"168,750"
3-30-2021,"100,000"
3-31-2021,"100,000"
4-1-2021,"90,000"
4-2-2021,"143,750"
4-3-2021,"108,750"
4-4-2021,"187,500"
4-5-2021,"120,000"
4-6-2021,"157,500"
4-7-2021,"191,250"
4-8-2021,"310,000"
4-9-2021,"310,000"
4-10-2021,"348,750"
4-11-2021,"260,000"
4-12-2021,"240,000"
4-13-2021,"225,000"
4-14-2021,"437,500"
4-15-2021,"330,000"
4-16-2021,"371,250"
4-17-2021,"390,000"
4-18-2021,"230,000"
4-19-2021,"247,500"
4-20-2021,"453,750"
4-21-2021,"348,750"
4-22-2021,"426,250"
4-23-2021,"475,000"
4-24-2021,"213,750"
4-25-2021,"237,500"
4-26-2021,"398,750"
4-27-2021,"337,500"
4-28-2021,"312,500"
4-29-2021,"371,250"
4-30-2021,"220,000"
5-1-2021,"200,000"
5-2-2021,"281,250"
5-3-2021,"201,250"
5-4-2021,"201,250"
5-5-2021,"210,000"
5-6-2021,"150,000"
5-7-2021,"122,500"
5-8-2021,"236,250"
5-9-2021,"202,500"
5-10-2021,"202,500"
5-11-2021,"330,000"
5-12-2021,"261,250"
5-13-2021,"247,500"
5-14-2021,"422,500"
5-15-2021,"440,000"
5-16-2021,"440,000"
5-17-2021,"420,000"
5-18-2021,"330,000"
5-19-2021,"275,000"
5-20-2021,"487,500"
5-21-2021,"148,750"
5-22-2021,"78,750"
5-23-2021,"56,250"
5-24-2021,"22,500"
5-25-2021,"56,250"
5-26-2021,"78,750"
5-27-2021,"166,250"
5-28-2021,"43,750"
5-29-2021,"43,750"
5-30-2021,"15,000"
5-31-2021,"56,250"
6-1-2021,"70,000"
6-2-2021,"168,000"
6-3-2021,"40,000"
6-4-2021,"45,000"
6-5-2021,0
6-6-2021,"25,000"
6-7-2021,"60,000"
6-8-2021,"150,000"
6-9-2021,"26,250"
6-10-2021,"18,750"
6-11-2021,0
6-12-2021,"11,250"
6-13-2021,"52,500"
6-14-2021,"189,000"
6-15-2021,"50,000"
6-16-2021,"35,000"
6-17-2021,"8,750"
6-18-2021,"25,000"
6-19-2021,"82,500"
6-20-2021,"160,000"
6-21-2021,"52,500"
6-22-2021,"52,500"
6-23-2021,"45,000"
6-24-2021,"67,500"
6-25-2021,"162,500"
6-26-2021,"247,500"
6-27-2021,"120,000"
6-28-2021,"78,750"
6-29-2021,"61,250"
6-30-2021,"78,750"
7-1-2021,"175,000"
7-2-2021,"225,000"
7-3-2021,"123,750"
7-4-2021,"80,000"
7-5-2021,"37,500"
7-6-2021,"40,000"
7-7-2021,"123,750"
7-8-2021,"160,000"
7-9-2021,"70,000"
7-10-2021,"20,000"
7-11-2021,"15,000"
7-12-2021,"22,500"
7-13-2021,"52,500"
7-14-2021,"130,000"
7-15-2021,"45,000"
7-16-2021,"15,000"
7-17-2021,"7,500"
7-18-2021,"10,000"
7-19-2021,"67,500"
7-20-2021,"120,000"
7-21-2021,"45,000"
7-22-2021,"28,500"
7-23-2021,"37,500"
7-24-2021,"50,000"
7-25-2021,"110,000"
7-26-2021,"225,000"
7-27-2021,"100,000"
7-28-2021,"80,000"
7-29-2021,"60,000"
7-30-2021,"75,000"
7-31-2021,"137,500"
8-1-2021,"135,000"
8-2-2021,"202,500"
8-3-2021,"142,500"
8-4-2021,"166,250"
8-5-2021,"130,000"
8-6-2021,"166,250"
8-7-2021,"156,250"
8-8-2021,"210,000"
8-9-2021,"148,750"
8-10-2021,"131,250"
8-11-2021,"100,000"
8-12-2021,"157,500"
8-13-2021,"187,500"
8-14-2021,"250,000"
8-15-2021,"135,000"
8-16-2021,"122,500"
8-17-2021,"100,000"
8-18-2021,"140,000"
8-19-2021,"130,000"
8-20-2021,"130,000"
8-21-2021,"71,250"
8-22-2021,"75,000"
8-23-2021,"68,750"
8-24-2021,"110,000"
8-25-2021,"70,000"
8-26-2021,"145,000"
8-27-2021,"86,250"
8-28-2021,"175,000"
8-29-2021,"200,000"
8-30-2021,"337,500"
8-31-2021,"337,500"
9-1-2021,"375,000"
9-2-2021,"292,500"
9-3-2021,"270,000"
9-4-2021,"250,000"
9-5-2021,"481,250"
9-6-2021,"371,250"
9-7-2021,"412,500"
9-8-2021,"438,750"
9-9-2021,"258,750"
9-10-2021,"262,500"
9-11-2021,"480,000"
9-12-2021,"300,000"
9-13-2021,"412,500"
9-14-2021,"508,750"
9-15-2021,"212,500"
9-16-2021,"233,750"
9-17-2021,"405,000"
9-18-2021,"343,750"
9-19-2021,"316,250"
9-20-2021,"375,000"
9-21-2021,"210,000"
9-22-2021,"157,500"
9-23-2021,"230,000"
9-24-2021,"157,500"
9-25-2021,"157,500"
9-26-2021,"166,250"
9-27-2021,"113,750"
9-28-2021,"90,000"
9-29-2021,"190,000"
9-30-2021,"125,000"
10-1-2021,"125,000"
10-2-2021,"258,750"
10-3-2021,"202,500"
10-4-2021,"212,500"
10-5-2021,"375,000"
10-6-2021,"465,000"
10-7-2021,"465,000"
10-8-2021,"455,000"
10-9-2021,"357,500"
10-10-2021,"300,000"
10-11-2021,"525,000"
10-12-2021,"180,000"
10-13-2021,"100,000"
10-14-2021,"75,000"
10-15-2021,"35,000"
10-16-2021,"75,000"
10-17-2021,"100,000"
10-18-2021,"200,000"
10-19-2021,"60,000"
10-20-2021,"60,000"
10-21-2021,"26,250"
10-22-2021,"75,000"
10-23-2021,"100,000"
10-24-2021,"188,000"
10-25-2021,"70,000"
10-26-2021,"60,000"
10-27-2021,"17,500"
10-28-2021,"50,000"
10-29-2021,"80,000"
10-30-2021,"180,000"
10-31-2021,"60,000"
11-1-2021,"45,000"
11-2-2021,"26,250"
11-3-2021,"37,500"
11-4-2021,"90,000"
11-5-2021,"272,250"
11-6-2021,"100,000"
11-7-2021,"78,750"
11-8-2021,"56,250"
11-9-2021,"82,500"
11-10-2021,"165,000"
11-11-2021,"288,750"
11-12-2021,"137,500"
11-13-2021,"90,000"
11-14-2021,"78,750"
11-15-2021,"96,250"
11-16-2021,"195,000"
11-17-2021,"302,500"
11-18-2021,"150,000"
11-19-2021,"101,250"
11-20-2021,"78,750"
11-21-2021,"110,000"
12-20-2021,"225,000"
12-21-2021,"288,750"
12-22-2021,"150,000"
12-23-2021,"101,250"
12-24-2021,"78,750"
12-25-2021,"82,500"
12-26-2021,"195,000"
12-27-2021,"247,500"
12-28-2021,"125,000"
12-29-2021,"67,500"
12-30-2021,"56,250"
12-31-2021,"68,750"
9-17-2021,"135,000"
10-19-2021,"240,000"
10-19-2021,"123,750"
10-19-2021,"68,750"
10-19-2021,"55,000"
10-19-2021,"65,000"
10-19-2021,"157,500"
11-18-2021,"243,750"
11-18-2021,"110,000"
11-18-2021,"107,250"
11-18-2021,"96,250"
11-18-2021,"97,500"
11-18-2021,"175,000"
12-17-2021,"308,750"
12-17-2021,"151,250"
12-17-2021,"137,500"
12-17-2021,"110,000"
12-17-2021,"130,000"
12-17-2021,"210,000"
1-10-2021,"131,250"
1-10-2021,"168,750"
1-10-2021,"168,750"
1-10-2021,"101,250"
1-24-2021,"165,000"
2-22-2021,"316,250"
2-22-2021,"123,750"
2-22-2021,"123,750"
2-22-2021,"87,500"
2-22-2021,"162,500"
2-22-2021,"192,500"
3-20-2021,"299,750"
3-20-2021,"137,500"
3-20-2021,"123,750"
3-20-2021,"62,500"
3-20-2021,"113,750"
3-20-2021,"151,250"
4-21-2021,"288,750"
4-21-2021,"123,750"
4-21-2021,"101,250"
4-21-2021,"75,000"
4-21-2021,"90,000"
4-21-2021,"150,000"
5-20-2021,"370,500"
5-20-2021,"165,000"
5-20-2021,"165,000"
5-20-2021,"137,500"
5-20-2021,"178,750"
5-20-2021,"280,000"
6-22-2021,"422,500"
6-22-2021,"240,000"
6-22-2021,"178,750"
6-22-2021,"165,000"
6-22-2021,"195,000"
6-22-2021,"315,000"
7-20-2021,"438,750"
7-20-2021,"255,000"
7-20-2021,"192,500"
7-20-2021,"165,000"
7-20-2021,"211,250"
7-20-2021,"350,000"
8-21-2021,"422,500"
8-21-2021,"255,000"
8-21-2021,"192,500"
8-21-2021,"137,500"
8-21-2021,"146,250"
8-21-2021,"280,000"
9-20-2021,"341,250"
9-20-2021,"195,000"
9-20-2021,"123,750"
9-20-2021,"110,000"
9-20-2021,"130,000"
9-20-2021,"210,000"
10-22-2021,"315,000"
10-22-2021,"178,750"
10-22-2021,"113,750"
10-22-2021,"97,500"
10-22-2021,"112,500"
10-22-2021,"220,000"
11-21-2021,"318,750"
11-21-2021,"195,000"
11-21-2021,"208,000"
11-21-2021,"195,000"
11-21-2021,"206,250"
11-21-2021,"300,000"
12-20-2021,"450,000"
12-20-2021,"260,000"
1-10-2021,"131,250"
1-10-2021,"168,750"
1-10-2021,"168,750"
1-10-2021,"101,250"
1-10-2021,"87,500"
1-10-2021,"191,250"
2-10-2021,"166,250"
2-10-2021,"168,750"
2-10-2021,"168,750"
2-10-2021,"101,250"
2-10-2021,"75,000"
2-10-2021,"157,500"
3-9-2021,"225,000"
3-9-2021,"192,500"
3-9-2021,"225,000"
3-9-2021,"151,250"
3-9-2021,"75,000"
3-9-2021,"178,750"
4-10-2021,"300,000"
4-10-2021,"195,000"
4-10-2021,"227,500"
4-10-2021,"125,000"
4-10-2021,"82,500"
4-10-2021,"227,500"
5-11-2021,"288,750"
5-11-2021,"225,000"
5-11-2021,"225,000"
5-11-2021,"151,250"
5-11-2021,"105,000"
5-11-2021,"356,250"
6-10-2021,"507,500"
6-10-2021,"450,000"
6-10-2021,"450,000"
6-10-2021,"356,250"
6-10-2021,"297,500"
6-10-2021,"650,000"
7-9-2021,"640,000"
7-9-2021,"552,500"
7-9-2021,"510,000"
7-9-2021,"400,000"
7-9-2021,"467,500"
7-9-2021,"550,000"
8-10-2021,"637,500"
8-10-2021,"543,750"
8-10-2021,"420,000"
8-10-2021,"367,500"
8-10-2021,"367,500"
8-10-2021,"262,500"
9-11-2021,"357,500"
9-11-2021,"385,000"
9-11-2021,"243,750"
9-11-2021,"211,250"
9-11-2021,"262,500"
9-11-2021,"225,000"
10-10-2021,"261,250"
10-10-2021,"308,750"
10-10-2021,"180,000"
10-10-2021,"151,250"
10-10-2021,"162,500"
10-10-2021,"210,000"
11-10-2021,"288,750"
11-10-2021,"360,000"
11-10-2021,"233,750"
11-10-2021,"260,000"
11-10-2021,"318,750"
11-10-2021,"450,000"
12-9-2021,"525,000"
12-9-2021,"595,000"
12-9-2021,"400,000"
12-9-2021,"400,000"
12-9-2021,"382,500"
12-9-2021,"498,750"
1-17-2021,"170,000"
1-17-2021,"212,500"
1-17-2021,"212,500"
1-17-2021,"137,500"
1-17-2021,"123,750"
1-17-2021,"237,500"
2-17-2021,"210,000"
2-17-2021,"212,500"
2-17-2021,"212,500"
2-17-2021,"137,500"
2-17-2021,"110,000"
2-17-2021,"200,000"
3-16-2021,"275,000"
3-16-2021,"240,000"
3-16-2021,"276,250"
3-16-2021,"195,000"
3-16-2021,"113,750"
3-16-2021,"225,000"
4-17-2021,"357,500"
4-17-2021,"245,000"
4-17-2021,"280,000"
4-17-2021,"165,000"
4-17-2021,"120,000"
4-17-2021,"281,250"
5-18-2021,"345,000"
5-18-2021,"276,250"
5-18-2021,"276,250"
5-18-2021,"195,000"
5-18-2021,"123,750"
5-18-2021,"402,500"
6-17-2021,"536,250"
6-17-2021,"490,000"
6-17-2021,"595,000"
6-17-2021,"488,750"
6-17-2021,"427,500"
6-17-2021,"825,000"
7-16-2021,"810,000"
7-16-2021,"712,500"
7-16-2021,"665,000"
7-16-2021,"540,000"
7-16-2021,"617,500"
7-16-2021,"715,000"
8-17-2021,"807,500"
8-17-2021,"701,250"
8-17-2021,"560,000"
8-17-2021,"380,000"
8-17-2021,"380,000"
8-17-2021,"255,000"
9-18-2021,"300,000"
9-18-2021,"325,000"
9-18-2021,"180,000"
9-18-2021,"150,000"
9-18-2021,"192,500"
9-18-2021,"165,000"
10-17-2021,"200,000"
10-17-2021,"373,750"
10-17-2021,"240,000"
10-17-2021,"206,250"
10-17-2021,"227,500"
10-17-2021,"280,000"
11-17-2021,"343,750"
11-17-2021,"420,000"
11-17-2021,"288,750"
11-17-2021,"325,000"
11-17-2021,"403,750"
11-17-2021,"540,000"
12-16-2021,"600,000"
12-16-2021,"680,000"
12-16-2021,"480,000"
12-16-2021,"480,000"
12-16-2021,"472,500"
12-16-2021,"593,750"
1-12-2021,"382,500"
1-12-2021,"292,500"
1-12-2021,"227,500"
1-12-2021,"200,000"
1-12-2021,"302,500"
1-12-2021,"292,500"
2-10-2021,"405,000"
2-10-2021,"247,500"
2-10-2021,"210,000"
2-10-2021,"190,000"
2-10-2021,"302,500"
2-10-2021,"292,500"
3-8-2021,"391,500"
3-8-2021,"247,500"
3-8-2021,"201,250"
3-8-2021,"170,000"
3-8-2021,"261,250"
3-8-2021,"258,750"
4-9-2021,"371,250"
4-9-2021,"236,250"
4-9-2021,"183,750"
4-9-2021,"180,000"
4-9-2021,"261,250"
4-9-2021,"270,000"
5-8-2021,"478,500"
5-8-2021,"316,250"
5-8-2021,"275,000"
5-8-2021,"250,000"
5-8-2021,"315,000"
5-8-2021,"406,250"
6-10-2021,"525,000"
6-10-2021,"343,750"
6-10-2021,"300,000"
6-10-2021,"287,500"
6-10-2021,"373,750"
6-10-2021,"507,500"
7-8-2021,"617,500"
7-8-2021,"420,000"
7-8-2021,"343,750"
7-8-2021,"316,250"
7-8-2021,"390,000"
7-8-2021,"542,500"
8-9-2021,"601,250"
8-9-2021,"420,000"
8-9-2021,"343,750"
8-9-2021,"258,750"
8-9-2021,"302,500"
8-9-2021,"435,000"
9-8-2021,"467,500"
9-8-2021,"325,000"
9-8-2021,"247,500"
9-8-2021,"236,250"
9-8-2021,"288,750"
9-8-2021,"375,000"
10-10-2021,"480,000"
10-10-2021,"312,500"
10-10-2021,"262,500"
10-10-2021,"250,000"
10-10-2021,"300,000"
10-10-2021,"406,250"
11-9-2021,"465,000"
11-9-2021,"300,000"
11-9-2021,"272,500"
11-9-2021,"287,500"
11-9-2021,"357,500"
11-9-2021,"455,000"
12-8-2021,"568,750"
12-8-2021,"371,250"
12-8-2021,"343,750"
12-8-2021,"316,250"
12-8-2021,"373,750"
12-8-2021,"472,500"
1-14-2021,"320,000"
1-14-2021,"240,000"
1-14-2021,"180,000"
1-14-2021,"157,500"
1-14-2021,"250,000"
1-14-2021,"240,000"
2-12-2021,"340,000"
2-12-2021,"200,000"
2-12-2021,"165,000"
2-12-2021,"148,750"
2-12-2021,"250,000"
2-12-2021,"240,000"
3-10-2021,"328,000"
3-10-2021,"210,000"
3-10-2021,"165,000"
3-10-2021,"140,000"
3-10-2021,"225,000"
3-10-2021,"220,000"
4-11-2021,"320,000"
4-11-2021,"200,000"
4-11-2021,"150,000"
4-11-2021,"148,750"
4-11-2021,"212,500"
4-11-2021,"220,000"
5-10-2021,"410,000"
5-10-2021,"236,250"
5-10-2021,"200,000"
5-10-2021,"180,000"
5-10-2021,"237,500"
5-10-2021,"330,000"
6-12-2021,"425,000"
6-12-2021,"270,000"
6-12-2021,"210,000"
6-12-2021,"200,000"
6-12-2021,"250,000"
6-12-2021,"357,500"
7-10-2021,"437,500"
7-10-2021,"281,250"
7-10-2021,"220,000"
7-10-2021,"200,000"
7-10-2021,"262,500"
7-10-2021,"385,000"
8-11-2021,"425,000"
8-11-2021,"281,250"
8-11-2021,"220,000"
8-11-2021,"210,000"
8-11-2021,"250,000"
8-11-2021,"371,250"
9-10-2021,"400,000"
9-10-2021,"270,000"
9-10-2021,"210,000"
9-10-2021,"200,000"
9-10-2021,"250,000"
9-10-2021,"330,000"
10-12-2021,"426,250"
10-12-2021,"270,000"
10-12-2021,"225,000"
10-12-2021,"213,750"
10-12-2021,"261,250"
10-12-2021,"360,000"
11-11-2021,"412,500"
11-11-2021,"258,750"
11-11-2021,"234,000"
11-11-2021,"225,000"
11-11-2021,"261,250"
11-11-2021,"345,000"
12-10-2021,"440,000"
12-10-2021,"270,000"
12-10-2021,"247,500"
12-10-2021,"225,000"
12-10-2021,"275,000"
12-10-2021,"360,000"
1-24-2021,"105,000"
1-24-2021,"140,000"
1-24-2021,"140,000"
1-24-2021,"80,000"
1-24-2021,"67,500"
1-24-2021,"160,000"
2-24-2021,"135,000"
2-24-2021,"140,000"
2-24-2021,"140,000"
2-24-2021,"80,000"
2-24-2021,"56,250"
2-24-2021,"130,000"
3-23-2021,"190,000"
3-23-2021,"162,500"
3-23-2021,"192,500"
3-23-2021,"125,000"
3-23-2021,"55,000"
3-23-2021,"150,000"
4-24-2021,"261,250"
4-24-2021,"165,000"
4-24-2021,"195,000"
4-24-2021,"101,250"
4-24-2021,"62,500"
4-24-2021,"195,000"
5-25-2021,"250,000"
5-25-2021,"192,500"
5-25-2021,"192,500"
5-25-2021,"137,500"
5-25-2021,"78,750"
5-25-2021,"315,000"
6-24-2021,"426,250"
